sp1,sp2,dist
BF,BF,0
BF,CA,247
BF,CC,240
BF,CG,225
BF,CPAR,240
BF,CPUR,247
BF,ED,247
BF,GC,225
BF,MGRA,225
BF,NI,225
BF,NS,225
BF,PC,187
BF,PF,213
BF,PN,213
CA,CA,0
CA,CPUR,11
CA,ED,52
CC,CA,247
CC,CC,0
CC,CPUR,247
CC,ED,247
CG,CA,247
CG,CC,240
CG,CG,0
CG,CPAR,240
CG,CPUR,247
CG,ED,247
CG,GC,38
CPAR,CA,247
CPAR,CC,39
CPAR,CPAR,0
CPAR,CPUR,247
CPAR,ED,247
CPUR,CPUR,0
CPUR,ED,NA
ED,ED,0
GC,CA,247
GC,CC,240
GC,CPAR,240
GC,CPUR,247
GC,ED,247
GC,GC,0
ME,BF,36
ME,CA,247
ME,CC,240
ME,CG,225
ME,CPAR,240
ME,CPUR,247
ME,ED,247
ME,GC,225
ME,ME,0
ME,MGRA,225
ME,NI,225
ME,NS,225
ME,PC,187
ME,PF,213
ME,PN,213
MGLO,BF,36
MGLO,CA,247
MGLO,CC,240
MGLO,CG,225
MGLO,CPAR,240
MGLO,CPUR,247
MGLO,ED,247
MGLO,GC,225
MGLO,ME,1
MGLO,MGLO,0
MGLO,MGRA,225
MGLO,NI,225
MGLO,NS,225
MGLO,PC,187
MGLO,PF,213
MGLO,PN,213
MGRA,CA,247
MGRA,CC,240
MGRA,CG,NA
MGRA,CPAR,240
MGRA,CPUR,247
MGRA,ED,247
MGRA,GC,NA
MGRA,MGRA,0
MGRA,NI,NA
MGRA,NS,NA
NI,CA,247
NI,CC,240
NI,CG,20
NI,CPAR,240
NI,CPUR,247
NI,ED,247
NI,GC,38
NI,NI,0
NS,CA,247
NS,CC,240
NS,CG,20
NS,CPAR,240
NS,CPUR,247
NS,ED,247
NS,GC,38
NS,NI,17
NS,NS,0
PC,CA,247
PC,CC,240
PC,CG,225
PC,CPAR,240
PC,CPUR,247
PC,ED,247
PC,GC,225
PC,MGRA,225
PC,NI,225
PC,NS,225
PC,PC,0
PC,PF,213
PC,PN,213
PF,CA,247
PF,CC,240
PF,CG,225
PF,CPAR,240
PF,CPUR,247
PF,ED,247
PF,GC,225
PF,MGRA,225
PF,NI,225
PF,NS,225
PF,PF,0
PF,PN,20
PN,CA,247
PN,CC,240
PN,CG,225
PN,CPAR,240
PN,CPUR,247
PN,ED,247
PN,GC,225
PN,MGRA,225
PN,NI,225
PN,NS,225
PN,PN,0
BF,BF,0
CA,BF,247
CC,BF,240
CG,BF,225
CPAR,BF,240
CPUR,BF,247
ED,BF,247
GC,BF,225
MGRA,BF,225
NI,BF,225
NS,BF,225
PC,BF,187
PF,BF,213
PN,BF,213
CA,CA,0
CPUR,CA,11
ED,CA,52
CA,CC,247
CC,CC,0
CPUR,CC,247
ED,CC,247
CA,CG,247
CC,CG,240
CG,CG,0
CPAR,CG,240
CPUR,CG,247
ED,CG,247
GC,CG,38
CA,CPAR,247
CC,CPAR,39
CPAR,CPAR,0
CPUR,CPAR,247
ED,CPAR,247
CPUR,CPUR,0
ED,CPUR,NA
ED,ED,0
CA,GC,247
CC,GC,240
CPAR,GC,240
CPUR,GC,247
ED,GC,247
GC,GC,0
BF,ME,36
CA,ME,247
CC,ME,240
CG,ME,225
CPAR,ME,240
CPUR,ME,247
ED,ME,247
GC,ME,225
ME,ME,0
MGRA,ME,225
NI,ME,225
NS,ME,225
PC,ME,187
PF,ME,213
PN,ME,213
BF,MGLO,36
CA,MGLO,247
CC,MGLO,240
CG,MGLO,225
CPAR,MGLO,240
CPUR,MGLO,247
ED,MGLO,247
GC,MGLO,225
ME,MGLO,1
MGLO,MGLO,0
MGRA,MGLO,225
NI,MGLO,225
NS,MGLO,225
PC,MGLO,187
PF,MGLO,213
PN,MGLO,213
CA,MGRA,247
CC,MGRA,240
CG,MGRA,NA
CPAR,MGRA,240
CPUR,MGRA,247
ED,MGRA,247
GC,MGRA,NA
MGRA,MGRA,0
NI,MGRA,NA
NS,MGRA,NA
CA,NI,247
CC,NI,240
CG,NI,20
CPAR,NI,240
CPUR,NI,247
ED,NI,247
GC,NI,38
NI,NI,0
CA,NS,247
CC,NS,240
CG,NS,20
CPAR,NS,240
CPUR,NS,247
ED,NS,247
GC,NS,38
NI,NS,17
NS,NS,0
CA,PC,247
CC,PC,240
CG,PC,225
CPAR,PC,240
CPUR,PC,247
ED,PC,247
GC,PC,225
MGRA,PC,225
NI,PC,225
NS,PC,225
PC,PC,0
PF,PC,213
PN,PC,213
CA,PF,247
CC,PF,240
CG,PF,225
CPAR,PF,240
CPUR,PF,247
ED,PF,247
GC,PF,225
MGRA,PF,225
NI,PF,225
NS,PF,225
PF,PF,0
PN,PF,20
CA,PN,247
CC,PN,240
CG,PN,225
CPAR,PN,240
CPUR,PN,247
ED,PN,247
GC,PN,225
MGRA,PN,225
NI,PN,225
NS,PN,225
PN,PN,0